rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
1,"Acquisitive chap, as we see it (8)",COVETOUS,Acquisitive,1a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
2,Back yard fencing weak and sagging (6),DROOPY,sagging,5a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
3,"Stripping off uniform, love holding colonel's coat (10)",UNCLOTHING,Stripping,8a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
4,Without a mark where they should be gained (4),EXAM,where they should be gained,9a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
5,"Put a stop to Rugby's foul school leader (5,2,3,4)",KNOCK ON THE HEAD,Put a stop to,10a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
6,Foreign letter coming in is the French letter (7),EPISTLE,letter,11a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
7,Charge to pack knick-knacks hurriedly (7),AGITATO,hurriedly,13a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
8,"At first, bear one fruit or another (7)",BANANAS,another,15a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
9,Cited tot defending authoritarian leader (7),ADDUCED,Cited,18a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
10,"Heady mixture of qualities nurse developed (7,7)",TEQUILA SUNRISE,Heady mixture,21a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
11,A little house might ... be this? (4),SEMI,A little,22a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
12,The writer's twice penning papers of merit (10),IMPRESSIVE,of merit,23a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
13,Highest-ranking lady has heart stolen roguishly (6),ARCHLY,roguishly,24a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
14,Grant a leader in the papers a column (8),CARYATID,a column,25a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
15,Charles's going to loudly show amusement (7),CHUCKLE,show amusement,1d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
16,Number one Scot with puritanical views (9),VICTORIAN,puritanical views,2d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
